p_id,p_name,p_categories,p_id_shop,p_shop_name,p_brand,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
122575149,100 Tờ Giấy Nến Nồi Chiên 23cm Đục Lỗ Dùng Hấp Nướng  Jodily - Thấm Dầu Mỡ - An Toàn Cho Sức Khỏe ,Phụ kiện nhà bếp khác,151652.0,Jodily StarHome HP,Jodily StarHome,478.0,1258,45000,35000,22
199727627,Bộ chổi kèm hốt rác Sweepy ETM976 - Màu xanh,Chổi,1.0,Tiki Trading,Sweepy,90.0,26,359000,299000,17
48698479,"2kg - Bao đựng rác 90x120cm cho nhà hàng sự kiện, túi đựng rác trong bệnh viện, sân bóng",Túi đựng rác,92052.0,Phú Thành Phát,Titapha,1048.0,447,130000,89000,32
90721643,Công tắc điều khiển từ xa công suất lớn 100m/30A/220V bật tắt từ xa máy bơm nước máy rửa xe [BỘ 2 ĐIỀU KHIỂN MẪU MỚI 2021] ,Thiết bị điều khiển thông minh,163693.0,E smart,OEM,632.0,221,163000,163000,0
63133571,Mền lông cừu xanh dương đậm cao cấp A - 1m8x2m,Chăn,2443.0,Shop Ánh Sao,A,859.0,928,180000,162500,10
194818369,"Hộp Đựng Trang Sức Mini Cho Nữ, Đựng Vòng Cổ Nhẫn Bông Tai Hộp Đựng Đồ Trang Sức Có Khóa Kéo",Tủ,82579.0,Shop HBH247,HBH,143.0,80,75800,75800,0
115523542,"Cây lau bụi quét trần nhà cán dài đầu uốn cong, chổi quét trần nhà mạng nhện đa năng",Nhà Cửa - Đời Sống,12619.0,CATAN shop,OEM,526.0,1,41993,41993,0
53476360,Bộ 30 móc treo quần áo nhôm cao cấp ,Móc treo,72116.0,MimiShoping,OEM,985.0,150,46000,46000,0
54122078,Pin AAAA Energizer E96 BP2,Nhà Cửa - Đời Sống,177466.0,Energizer Official Store,Energizer,968.0,58,80000,45000,44
161501208,"Nồi inox cán dài Tefal Primary 16cm, 1.5L, dùng cho mọi loại bếp- Hàng chính hãng",Nồi các loại,121435.0,Tefal Official Store - Chính hãng,Tefal,327.0,141,539000,339000,37
146432055,Túi Chân Không Tự Hút Đựng Chăn Mền Quần Áo Không Cần Dụng Cụ Hút,Phụ kiện phòng ngủ khác,17480.0,Ghế Nam Việt,OEM,395.0,665,40000,40000,0
30008695,Vĩ 5 viên pin Maxell dòng cao cấp CR2032,Pin tiểu,20367.0,VI TÍNH NAM TRUNG HẢI,Maxell,1219.0,103,22990,22990,0
104681396,Miếng rửa chén sợi tre MyJae Đài Loan bọt biển rửa bát đa năng siêu bền đánh bay dầu bẩn,Miếng rửa chén,190794.0,MyJae Flagship Store,MyJae,573.0,383,69000,28000,59
204941943,Bộ quà tặng 3 sản phẩm ECODEALS trị giá 45K,Phụ kiện nhà bếp khác,37964.0,ECODEALS,ECODEALS,56.0,73,45000,44300,2
184521772,Chậu trồng cây thông minh A7. Có chức năng tự tưới nước cho cây,Bình,286588.0,Oliz Store,OEM,216.0,111,19000,19000,0
117370665,Chiếu ngủ trưa văn phòng cá nhân dày 3.5ly / Chiếu Cách Nhiệt Văn Phòng 100 X 190 cm,Chiếu,160163.0,K KRISHNA,Krishna,511.0,555,40000,40000,0
212980747,"Bộ 30 miếng dán lót chân bàn, ghế, giường, tủ chống trơn trượt và trầy xước",Nhà Cửa - Đời Sống,134154.0,Funu Home,OEM,10.0,570,35000,28000,20
73871948,Đèn LED Tạo Hình Chủ Đề Trang Trí Giáng Sinh Noel,Đèn khác,17480.0,Ghế Nam Việt,OEM,755.0,150,69999,69999,0
67707813,Phụ kiện Ngăn mùi nhà tắm - INOX 304 lắp thoát sàn chống mùi hôi ngăn vi khuẩn trào ngược lên – DH2011,Thiết bị phòng tắm khác,102468.0,DAN House,Dan House,838.0,807,115000,115000,0
