p_id,p_name,p_id_shop,p_shop_name,p_brand,p_categories,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
120339115,"Thanh xốp chắn cửa đa năng chống bụi, chống va đập khi gió mạnh",8426.0,Bao Bì Hiếu,OEM,Khác,494.0,0,9999,9999,0
34812576,Pin Đại Panasonic Ankaline LR20T/2B Hàng Chính Hãng,1242.0,"Vo Hoang Trading Co.,Ltd",Panasonic,Nhà Cửa - Đời Sống,1189.0,45,90000,90000,0
19822607,"Cân tiểu ly điện tử 5kg phím cảm ứng - cân tiểu li điện tử có độ chính xác cao, có lỗ treo tiện lợi",21344.0,NGUYỄN ĐẠT SHOP,OEM,Đồ dùng nhà bếp khác,1303.0,17,185000,185000,0
145750524,"Bộ Giá Đỡ Ke Bàn Gấp Treo Tường KUNBE, Bản Lề Gập Thông Minh Tiết Kiệm Không Gian, Chịu Tải Tốt",61513.0,chat24h,KUNBE,"Nội thất phòng học, làm việc khác",397.0,226,135000,111500,17
114633173,Bộ Khay đựng đồ ăn kèm phụ kiện bằng Lúa Mạch - Hàng Chính Hãng ,137411.0,Phụ Kiện Store 76,PaKaSa,"Khay, Thau, rổ",531.0,9,150000,110000,27
127126066,Hộp đựng bàn chải đánh răng diệt khuẩn bằng tia cực tím UV,254353.0,khoaitay boutique,OEM,Khác,459.0,0,129986,129986,0
75707305,Bộ May Vá Quần Áo Đa Năng Cho Gia Đình KUNBE Kèm Hộp Đựng Kim Chỉ,61513.0,chat24h,KUNBE,Phụ kiện phòng ngủ,722.0,476,70000,51400,27
36302375,Túi Đựng Hộp Cơm Giữ Nhiệt Đa Năng Họa Tiết Cá Và Sóng Biển Siêu Hot - Vàng,273327.0,Gia dụng thông minh HH,OEM,Túi đựng hộp cơm,1177.0,0,40500,40500,0
90439729,Bút thử điện dùng trong gia đình sieu bềnHàng cao cấp,252842.0,SHOP 94,OEM,Khác,634.0,0,30000,24200,19
152209577,Bộ miếng nhấc nồi chống nóng rẻ ( 1 bộ gồm 2 miếng ),47072.0,Quynhthy,OEM,Phụ kiện nhà bếp khác,378.0,149,10000,10000,0
207200186,"Bộ bình giữ nhiệt kèm cốc sang trọng, Cốc Ly đựng nước giữ nhiệt Vacuum Bottle INOX 304 500ml - Chính Hãng JYoohome",249634.0,Homebox Store,JYooHome,Bình giữ nhiệt,41.0,41,300000,150000,50
113458874,Tủ Để Đồ Thông Minh S Smart Tận Dụng Không Gian Cạnh Cửa Sổ - GP131,48574.0,IGEA Nội Thất Thông Minh,IGA,Kệ & Tủ,537.0,1558,415000,396000,5
106808360,"Bình Giữ Nhiệt Lock&Lock Riga Tumbler LHC4160 (897ml) - Hàng Chính Hãng, Bằng Thép Không Gỉ, Có Lưới Lọc Inox - Tặng Kèm Ống Hút Và Cọ Rửa Ống Hút",38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Bình giữ nhiệt,553.0,373,735000,389000,47
93760107,"Dây đèn trang trí ngoài trời chống nước dùng cho quán cà phê, trà chanh, trà sữa đuôi đèn chống nước -thương hiệu Kiotool",7241.0,KIOTOOL Official Store,KIOTOOL,Đèn khác,618.0,623,103000,103000,0
150663096,"Bộ Chăn Ga Gối Cotton Tici M2T Bedding Drap Giường Đủ Kích Thước Trải Nệm 1m, 1m2, 1m4, 1m6, 1m8, 2m2 Không Kèm Ruột",252297.0,M2T Bedding Official,M2T BEDDING,Root,383.0,212,400000,320000,20
71518869,Nồi Decor Lock&Lock LDE1202IH (20cm) - Màu Navy,1.0,Tiki Trading,LocknLock,Nhà Cửa - Đời Sống,803.0,758,1098000,539000,51
