p_id,p_review_count,p_rating_average
190491180,51,5.0
146062295,7,4.6
91208982,10,4.5
4581761,27,4.7
50952469,77,4.8
36313228,8,3.9
198696933,0,0.0
48140299,6,4.3
32021518,3,5.0
37033821,16,4.8
157501727,11,4.7
51512863,40,4.5
129260830,31,4.7
137978686,16,4.8
135156091,6,4.8
108936951,0,0.0
65446627,638,4.6
54478757,560,4.7
124483451,71,4.7
134649466,19,4.8
149959628,92,4.6
192891403,0,0.0
134360863,75,5.0
145468038,25,4.6
165669190,35,4.6
58978006,166,4.7
54156958,38,4.7
92533720,161,4.5
186348775,216,4.6
105812707,24,4.8
178515108,7,4.6
44936904,97,4.7
196005804,5,4.5
169919224,25,4.6
43808661,198,4.7
185004559,23,5.0
118133855,47,4.7
92732823,27,4.7
191448415,5,4.8
108918404,96,4.8
198058502,30,5.0
58407340,3,4.7
176166901,4,4.5
14640564,6,4.0
80757840,277,4.8
23991110,61,4.8
157171361,10,4.8
71207808,81,4.5
5766073,1,5.0
55057492,25,4.8
44728367,72,4.8
108258661,21,4.6
169366280,2,5.0
134777589,5,5.0
5766057,1,4.0
98182281,4,5.0
189010840,0,0.0
21373904,329,4.8
21101765,2020,4.5
162356111,40,4.5
25421013,115,4.6
77448059,366,4.8
466737,2072,4.6
46104797,564,4.8
164924067,8,4.8
3526073,834,4.7
186636765,9,4.8
81936300,148,4.7
169475138,13,4.5
197333402,3,4.3
171022457,28,4.7
98182361,14,4.7
143322314,15,4.5
115986066,29,4.5
192471715,15,4.7
170148399,11,4.5
81936241,223,4.8
158639945,17,5.0
138830694,122,4.3
187950505,2,5.0
36960736,89,4.8
191767775,1,5.0
21558490,5,4.6
166081758,2,4.0
14088456,150,4.5
71625981,51,4.7
75661165,37,4.5
177781721,3,4.3
1380291,1314,4.5
134222393,40,4.7
113566688,2,5.0
184519325,10,5.0
140656713,64,4.8
48715095,1,3.0
184123491,4,4.5
54675377,1,4.0
73497133,10,5.0
49369136,14,5.0
16109078,3,4.0
101721215,25,4.5
44278761,62,4.3
164227282,0,0.0
179510781,2,5.0
147570674,22,4.8
68768277,12,4.8
166155723,0,0.0
101948843,1,4.0
36302375,4,3.8
115723041,1,4.0
181461161,0,0.0
50231438,196,4.7
132209590,3,4.3
128707042,7,4.3
117090863,10,5.0
26242002,6,3.8
67201599,0,0.0
182148476,0,0.0
203222820,6,5.0
117808254,14,4.6
119220427,178,4.6
114204741,11,4.6
52316356,107,4.2
181909422,19,4.6
73384182,256,4.7
173999814,15,5.0
3088227,313,4.6
70083074,436,4.6
26491454,184,4.5
155546820,65,4.7
58828647,431,4.8
104681394,30,4.8
191918103,6,5.0
51530502,97,4.8
54758744,218,4.5
122575149,162,4.8
195968874,18,5.0
27068546,499,4.5
155382183,12,4.3
15186279,1,5.0
198102764,2,5.0
184895309,4,5.0
181223364,13,4.5
11220808,69,4.7
68521325,25,5.0
105374376,73,4.5
74605907,7,4.5
185798331,2,5.0
718970,23,4.8
107338468,102,4.8
81577986,127,4.6
178515096,6,4.8
52886539,34,4.6
92876038,0,0.0
106503197,0,0.0
86376338,16,4.5
16554817,2,4.5
108732479,176,4.0
26670490,637,4.3
162548473,81,4.5
54483857,631,4.6
121162213,60,4.8
34502530,22,4.1
92441037,207,4.8
14467293,62,3.8
196537115,3,4.7
101894776,73,4.8
188919548,11,4.8
195702452,0,0.0
5981431,78,4.2
163165152,5,4.2
145495739,14,5.0
114538193,85,4.7
181909432,15,4.3
99395759,18,4.5
135442410,47,4.7
7274279,53,4.8
198193045,20,5.0
193655164,1,5.0
46178511,283,4.5
178101136,8,4.8
100623179,36,4.8
192931450,0,0.0
52293501,0,0.0
106281062,46,4.8
95335291,17,4.2
119449900,101,4.8
139480868,10,5.0
108845462,21,4.7
99211918,76,4.8
55365677,11,4.8
149242704,10,3.8
189533392,3,4.7
193524524,1,5.0
204207778,34,5.0
177780314,2,4.5
44045342,29,4.3
195462469,4,5.0
52801595,13,4.3
164240361,3,3.3
13894372,14,4.6
139104197,6,5.0
70564013,74,4.7
199171114,0,0.0
129793626,0,0.0
42830291,12,4.5
136014171,29,4.7
7599467,54,4.7
49936368,8,5.0
53497586,6,4.3
55580718,403,4.6
190322459,20,4.6
186639740,2,3.5
7221847,34,4.8
190180906,19,5.0
131417609,40,5.0
13561925,270,4.7
169043847,26,4.6
74815043,347,4.3
92698521,111,5.0
181361773,6,4.7
145716620,28,4.6
203956802,7,4.7
13309367,10,4.3
143779168,63,4.7
67937873,96,4.7
169705136,26,5.0
195657317,1,5.0
107357043,115,4.7
105892083,3,3.7
98116109,210,4.8
139600248,135,4.7
6710595,22,4.1
43880302,136,4.5
71203507,202,4.7
188997797,12,5.0
169455049,0,0.0
122356424,20,4.7
204207230,52,5.0
133918074,12,4.8
7664636,31,4.2
131552628,102,4.5
53259958,34,4.7
144882485,15,4.7
184245786,10,4.3
150269472,15,4.7
166081798,2,5.0
87873126,157,4.6
68342231,14,4.5
3198855,2,4.5
167473547,4,4.8
88785173,0,0.0
138460509,9,5.0
136483137,3,5.0
145462776,0,0.0
55478942,5,3.6
109610880,1,5.0
101893893,0,0.0
2863013,0,0.0
132094378,2,5.0
135349808,6,4.3
180868785,0,0.0
17133712,32,4.7
144467687,4,5.0
143524862,14,4.6
91552224,80,3.8
198539715,0,0.0
99669191,32,4.3
692124,4,3.8
169135821,60,4.5
167469657,0,0.0
578902,101,4.1
1084776,350,4.7
89980825,263,4.7
57971649,304,4.7
153036917,80,4.5
51373821,18,4.7
38112032,179,4.5
186288399,3,5.0
58002786,221,4.6
198586955,1,5.0
47115292,115,4.7
163574367,44,4.7
53715506,150,4.8
46646792,70,4.2
53830664,227,4.7
11203853,2,4.5
69843631,48,4.5
186862075,11,4.5
119790624,1,5.0
118433440,79,4.6
184880512,3,5.0
650492,0,0.0
167501326,0,0.0
15737056,1,5.0
127301375,46,4.8
52131034,0,0.0
16362780,9,3.2
106281034,30,4.5
42905349,5,4.8
115933778,10,3.7
54585744,2,3.5
58389787,4,4.8
163918400,1,5.0
74935368,34,4.6
134416180,2,5.0
149354851,4,4.8
106336525,5,5.0
117048535,55,4.8
81509706,23,4.8
169691088,4,5.0
134351529,28,5.0
178913568,2,5.0
115340546,0,0.0
197615248,0,0.0
112262417,9,5.0
8051657,19,4.6
46676589,8,4.1
186304429,4,4.5
155828145,8,5.0
173725031,2,5.0
63480649,15,4.7
54467802,3,5.0
14632647,7,3.6
558102,35,4.5
162224791,4,4.5
102017121,6,4.8
176309369,2,5.0
191606117,1,5.0
137672943,9,3.8
162241008,0,0.0
72880108,0,0.0
105926543,0,0.0
108968424,7,5.0
52604131,5,4.8
108991166,7,5.0
14814981,74,4.8
89402921,0,0.0
68565401,7,4.7
56363238,40,4.5
13566702,13,4.5
169362095,1,5.0
13566732,3,5.0
53596982,5,4.0
175466616,2,5.0
49732530,100,4.2
167749983,9,4.0
46634685,15,4.7
184100186,1,4.0
184100249,0,0.0
115414570,6,5.0
4170205,0,0.0
105717965,147,5.0
193709920,14,4.5
172709177,59,4.2
98678067,92,4.8
157055245,2,5.0
185380278,25,4.5
50339509,116,4.8
655378,13,4.8
165758264,21,4.8
26488981,109,4.5
198097413,8,5.0
185743628,48,4.7
198214329,38,5.0
191576082,13,4.5
52581646,11,4.0
35905859,283,4.6
74037415,0,0.0
90119083,117,4.7
45293150,24,4.5
106385679,98,4.6
129640951,5,5.0
38434027,13,4.6
41430891,24,4.5
160292469,0,0.0
67650750,223,4.5
5561883,80,4.7
146432055,34,4.5
68786545,22,4.1
7561373,264,4.7
56615661,21,3.9
129260932,1,5.0
143864347,39,5.0
20642606,28,4.6
121604823,58,4.6
2909969,5,3.4
108201708,20,4.7
20523597,20,4.5
73983602,22,4.8
130780858,17,4.7
26053920,72,4.5
117207732,60,4.5
41332433,89,4.3
147389215,0,0.0
150200380,13,4.5
22411660,10,4.1
140357669,0,0.0
132829694,14,5.0
188013610,1,5.0
43346095,5,4.6
35845326,1,5.0
101861937,5,4.8
13599691,8,5.0
13986037,23,4.3
73330346,25,3.6
106779921,0,0.0
137580948,0,0.0
56527776,28,5.0
26242512,1,4.0
158386750,2,5.0
72680721,23,4.8
173539203,2,3.0
92099197,10,4.5
103743707,1,5.0
48995859,9,4.8
54437041,10,4.8
576989,2,3.5
153978236,6,3.7
201856544,0,0.0
169734817,0,0.0
99406825,5,4.5
5863091,3,4.7
19339494,4,3.8
2340279,4,3.5
22284428,0,0.0
12399195,0,0.0
117002371,60,4.7
33000593,2,4.0
97841121,1,5.0
72809774,20,5.0
198240370,13,4.6
55459728,0,0.0
141231741,0,0.0
33882797,1,5.0
166145476,0,0.0
96636633,1,5.0
198205815,0,0.0
52671521,2,5.0
176751471,0,0.0
21573526,0,0.0
127077985,0,0.0
454662,0,0.0
45293662,0,0.0
180868876,0,0.0
147423895,0,0.0
139732229,0,0.0
185991739,0,0.0
164433495,13,4.5
12739781,4,4.5
9844773,0,0.0
25305723,1,5.0
197165739,0,0.0
3926209,10,4.5
147423798,2,5.0
200938292,0,0.0
74525994,8,4.5
198898092,0,0.0
36314576,18,4.3
25475197,13,4.8
108635721,1,4.0
15563922,0,0.0
193840260,9,4.3
108243508,86,4.5
191911126,5,3.4
70655135,302,4.2
68034681,172,4.7
106808360,104,5.0
123531334,141,5.0
165109465,40,4.6
97917095,106,4.1
140643373,41,4.8
138830944,50,4.7
